Fiscal Year,Work Location Borough,Regular Gross Paid,OT Hours,Total OT Paid
2020,BROOKLYN,66647.77,348.5,16572.64
2020,BROOKLYN,81887.99,15,679.33
2020,BROOKLYN,72287.7,217.75,9636.04
2020,BROOKLYN,61359.18,307.5,14679.13
2020,BROOKLYN,71938.89,175.25,8786.47
2020,BROOKLYN,64110.28,352,16667.92
2020,BROOKLYN,66648.74,282.5,13989.75
2020,BROOKLYN,67706.51,237,11332.32
2020,BROOKLYN,70148.5,32.25,1314.22
2020,BROOKLYN,72203.21,113.5,5643.55
2020,BROOKLYN,66947.11,216,10630.76
2020,BROOKLYN,70352.18,127,6574.12
2020,BROOKLYN,70028.89,116,5713.21
2020,BROOKLYN,58185.25,395.5,17255.06
2020,BROOKLYN,65591.04,199.25,9713.85
2020,BROOKLYN,65591.04,192,8757.41
2020,BROOKLYN,56610.28,393,17790.61
2020,BROOKLYN,62439.74,238.5,12364.8
2020,BROOKLYN,65932.74,176,8629.8
2020,BROOKLYN,61363.15,234,11094.1
2020,BROOKLYN,66165.12,178.75,8016.78
2020,BROOKLYN,59243.02,324.5,14189.25
2020,BROOKLYN,66648.74,139.5,6372.11
2020,BROOKLYN,71938.89,11,459.78
2020,BROOKLYN,64578.68,165,7643.21
2020,BROOKLYN,65591.04,142.5,6127.29
2020,BROOKLYN,61359.18,195,8341.68
2020,BROOKLYN,64001.59,156.5,7271.37
2020,BROOKLYN,65932.74,103.5,4446.88
2020,BROOKLYN,65591.04,107.5,4884.22
2020,BROOKLYN,61359.18,90.5,4147.48
2020,BROOKLYN,66647.77,74,3242.31
2020,BROOKLYN,57344.44,258.5,11985.37
2020,BROOKLYN,61359.18,152.5,6310.67
2020,BROOKLYN,61359.18,100,3876.55
2020,BROOKLYN,52896.04,382,15410.85
2020,BROOKLYN,47854.55,526,19751.62
2020,BROOKLYN,53750.14,254.25,13501.62
2020,BROOKLYN,49368.85,390.5,17332.78
2020,BROOKLYN,60099.27,161,6623.7
2020,BROOKLYN,65820.37,20,808.52
2020,BROOKLYN,63159.77,77.25,3011.93
2020,BROOKLYN,60902.24,128,5132.79
2020,BROOKLYN,60449.48,88.75,4609.94
2020,BROOKLYN,61359.18,49,1808.36
2020,BROOKLYN,48273.02,320.75,15652.8
2020,BROOKLYN,59735.06,86,3809.95
2020,BROOKLYN,51639.3,180,11062.74
2020,BROOKLYN,54680.15,132.5,6608.73
2020,BROOKLYN,54772.13,75.25,3645.41
2020,BROOKLYN,49813.71,163.25,7178.79
2020,BROOKLYN,53200.97,55.25,2459.25
2020,BROOKLYN,45297.42,213,10216.41
2020,BROOKLYN,50086.73,74.25,3754.99
2020,BROOKLYN,47513.82,153.75,5641.04
2020,BROOKLYN,46850.73,124.25,5341.5
2020,BROOKLYN,40858.33,76.75,2994.39
2020,BROOKLYN,40858.33,79,3399.01
2020,BROOKLYN,42414.24,50,2613.15
2020,BROOKLYN,40148.67,112.5,4939.29
2020,BROOKLYN,36606.57,97.75,3733.36
2020,BROOKLYN,26750.43,312.25,14978.28
2020,BROOKLYN,30571.92,217.75,10467.1
2020,BROOKLYN,26750.43,290,14044.18
2020,BROOKLYN,28458.96,228,9968.57
2020,BROOKLYN,27208.37,127.75,3726.73
2020,BROOKLYN,26801.03,2,66.22
2020,BROOKLYN,24161.02,72.75,2839.92
2020,BROOKLYN,14381.95,204.5,10917.33
2020,BROOKLYN,23805.91,28,1085.96
2020,BROOKLYN,18082.62,14,1361.39
2020,BROOKLYN,19182.8,11,565.43
2020,BROOKLYN,13674.87,2,88.95
2020,BROOKLYN,9473.85,25,1009.85
2020,BROOKLYN,3607.65,7.75,322.96
2020,MANHATTAN,96540,5.25,226.87
2020,MANHATTAN,91334.04,39,1878.26
2020,MANHATTAN,76837.01,315,16382.88
2020,MANHATTAN,92263.32,4,184.02
2020,MANHATTAN,92263.32,9.5,439.82
2020,MANHATTAN,78221.24,235.75,12480.61
2020,MANHATTAN,88737.36,42.75,1807.21
2020,MANHATTAN,86924.24,53,3104.05
2020,MANHATTAN,88558.87,24.5,1234.58
2020,MANHATTAN,88648.36,19.75,937.35
2020,MANHATTAN,87743.34,20.5,943.12
2020,MANHATTAN,85835.64,40,2347.84
2020,MANHATTAN,83800.55,70.75,3568.21
2020,MANHATTAN,81797.01,114.5,5563.49
2020,MANHATTAN,76850.25,205.5,9912.85
2020,MANHATTAN,75069.02,200,11422.9
2020,MANHATTAN,86198.99,11.75,517.03
2020,MANHATTAN,85564.71,6,300.11
2020,MANHATTAN,84064.67,41.75,2039.33
2020,MANHATTAN,85259.34,9,598.09
2020,MANHATTAN,66469.12,319.5,19088.9
2020,MANHATTAN,78221.24,128,6638.94
2020,MANHATTAN,74974.9,174.5,8034.91
2020,MANHATTAN,73374.86,191,9937.83
2020,MANHATTAN,73453.35,207.75,9573.68
2020,MANHATTAN,69223.13,228.5,12871.92
2020,MANHATTAN,76937.67,94,5208.78
2020,MANHATTAN,82048.56,12,522.32
2020,MANHATTAN,78221.24,57.75,3656.31
2020,MANHATTAN,80671.89,16.75,742.4
2020,MANHATTAN,80681.66,30.75,1454.5
2020,MANHATTAN,81091.73,10.5,476.02
2020,MANHATTAN,78221.24,49.25,3142.11
2020,MANHATTAN,68996.65,238.75,11873.6
2020,MANHATTAN,80681.66,10.25,610.11
2020,MANHATTAN,76184.78,112,4730.01
2020,MANHATTAN,70483.91,190.25,9711.55
2020,MANHATTAN,78221.24,36.75,1943.58
2020,MANHATTAN,78221.24,42.5,1837.19
2020,MANHATTAN,74640.38,126,5031.35
2020,MANHATTAN,78221.24,26,1391.19
2020,MANHATTAN,77711.72,41.5,1782.33
2020,MANHATTAN,77202.74,52.5,2188.91
2020,MANHATTAN,71320.13,170.25,7594.73
2020,MANHATTAN,78221.24,17.75,749.19
2020,MANHATTAN,76198.46,39.75,1654.41
2020,MANHATTAN,76742.32,21,899.64
2020,MANHATTAN,77276.21,7.5,363.77
2020,MANHATTAN,77215.77,8.5,353.04
2020,MANHATTAN,76292.58,12,673.85
2020,MANHATTAN,75164.63,24.75,1042.47
2020,MANHATTAN,76292.58,2.25,146.73
2020,MANHATTAN,76015.12,10.75,417.31
2020,MANHATTAN,73374.86,81.75,3310.94
2020,MANHATTAN,74815.13,37.75,1587.09
2020,MANHATTAN,67917.23,175.75,8072.88
2020,MANHATTAN,73329.85,33,1419.39
2020,MANHATTAN,73591.88,21,862.69
2020,MANHATTAN,66756.84,178.25,7330.05
2020,MANHATTAN,73591.88,13.75,641.25
2020,MANHATTAN,72193.88,46.75,1848.95
2020,MANHATTAN,72983.21,14.75,614.43
2020,MANHATTAN,72368.63,34,1315.8
2020,MANHATTAN,60973.01,320,12312.1
2020,MANHATTAN,72200.41,14,550.09
2020,MANHATTAN,67482.08,146.25,5497.64
2020,MANHATTAN,69368.58,55.25,3076.8
2020,MANHATTAN,72390.05,5.25,208.88
2020,MANHATTAN,66609.93,125.25,4783.65
2020,MANHATTAN,70593.84,29.5,1122.52
2020,MANHATTAN,69223.13,37.25,1957.34
2020,MANHATTAN,66544.08,113,4451.07
2020,MANHATTAN,70674.47,1,37.35
2020,MANHATTAN,69223.13,15.25,711.78
2020,MANHATTAN,69223.13,16.75,672.77
2020,MANHATTAN,68996.65,12.5,457.53
2020,MANHATTAN,68845.82,8.5,325.63
2020,MANHATTAN,69250.48,3,118.91
2020,MANHATTAN,68619.58,25.75,978.81
2020,MANHATTAN,65265.42,77,2957.07
2020,MANHATTAN,68765.05,2.25,84.04
2020,MANHATTAN,68619.58,4.25,149.58
2020,MANHATTAN,67087.77,21,782.94
2020,MANHATTAN,67087.77,11,413.21
2020,MANHATTAN,66756.84,12,519.1
2020,MANHATTAN,63036.79,107.25,3853.44
2020,MANHATTAN,62600.87,78.25,3941.64
2020,MANHATTAN,64817.25,27.25,1342.78
2020,MANHATTAN,64219.69,49.25,1905.42
2020,MANHATTAN,65223.69,15.25,738.61
2020,MANHATTAN,64070.3,69.25,2396.43
2020,MANHATTAN,64219.69,43,1782.07
2020,MANHATTAN,64219.69,23.25,939.21
2020,MANHATTAN,63771.52,29.25,1410.02
2020,MANHATTAN,61530.67,88,3487.57
2020,MANHATTAN,64817.25,5.5,186.59
2020,MANHATTAN,61530.67,72.75,2774.71
2020,MANHATTAN,64219.69,2.25,86.57
2020,MANHATTAN,63464.45,17.5,703.26
2020,MANHATTAN,62821.63,15,520.18
2020,MANHATTAN,57472.11,99.75,5136.24
2020,MANHATTAN,61530.67,14.75,495.7
2020,MANHATTAN,61530.67,26.75,907.35
2020,MANHATTAN,61530.67,9.75,327.7
2020,MANHATTAN,61530.67,8.5,290.69
2020,MANHATTAN,60230.25,4,132.8
2020,MANHATTAN,48197.07,106,4552.05
2020,MANHATTAN,59116.11,44.25,1401.39
2020,MANHATTAN,58729.33,24.25,1277.64
2020,MANHATTAN,54551.33,141.5,5045.99
2020,MANHATTAN,57841.04,41.5,1555.75
2020,MANHATTAN,51807.6,38.75,1735.82
2020,MANHATTAN,57439.22,28.75,1333.75
2020,MANHATTAN,58727.57,1,43.12
2020,MANHATTAN,58046.54,23.5,812.25
2020,MANHATTAN,56272.67,12,540.15
2020,MANHATTAN,56607.46,35.5,1116.83
2020,MANHATTAN,50115.66,218,7159.08
2020,MANHATTAN,56264.57,4,136.79
2020,MANHATTAN,51734.16,109.75,3962.68
2020,MANHATTAN,54566.05,24.25,1005.84
2020,MANHATTAN,49263.23,170.75,5700.87
2020,MANHATTAN,53405.88,23.5,800.19
2020,MANHATTAN,53212.51,6.25,213.55
2020,MANHATTAN,51159.96,59.75,2129.19
2020,MANHATTAN,53054.07,2,98.04
2020,MANHATTAN,50473.33,3.5,138.57
2020,MANHATTAN,51682.43,20,558.58
2020,MANHATTAN,51781.66,11,452.12
2020,MANHATTAN,48510.31,97.25,2990.9
2020,MANHATTAN,50115.66,14,603.22
2020,MANHATTAN,48510.31,75.5,2450.29
2020,MANHATTAN,48832.99,40.5,1172.65
2020,MANHATTAN,48832.99,5,124.5
2020,MANHATTAN,48510.31,15.75,420.29
2020,MANHATTAN,47972.51,7,197.99
2020,MANHATTAN,44124.56,85.25,3821.67
